structure_id,caps,anchor,track_prep,data_node,anchor_emit,split_source,isolate_drain,control_groups,transistors,kappa,vth_residual,source_sensitivity,decision
S3-c36441d08d,G-X,S,False,G,True,True,False,6,7,,,,control_groups_gt_5
S3-441b67fb69,G-X,S,False,G,True,True,True,7,8,,,,control_groups_gt_5
S3-94d1b79a79,G-X,S,False,S,False,False,False,4,6,,,,DATA_and_VINIT_short_in_WRITE
S3-fdeb908b0a,G-X,S,False,S,False,False,True,4,7,,,,DATA_and_VINIT_short_in_WRITE
S3-48c958f841,G-X,S,False,S,False,True,False,5,7,,,,DATA_and_VINIT_short_in_WRITE
S3-39184ca39c,G-X,S,False,S,False,True,True,6,8,,,,control_groups_gt_5
S3-2966ab4b8f,G-X,S,False,S,True,False,False,5,6,,,,DATA_and_VINIT_short_in_WRITE
S3-6c78519453,G-X,S,False,S,True,False,True,5,7,,,,DATA_and_VINIT_short_in_WRITE
S3-c0983da3a6,G-X,S,False,S,True,True,False,6,7,,,,control_groups_gt_5
S3-5b73383f8a,G-X,S,False,S,True,True,True,7,8,,,,control_groups_gt_5
S3-dead4683c3,G-X,S,False,X,False,False,False,4,6,1.0000000000000002,6.661338147750939e-16,-1.0,no_intrinsic_DATA_compression
S3-7e206d1e92,G-X,S,False,X,False,False,True,4,7,1.0000000000000002,6.661338147750939e-16,-1.0,no_intrinsic_DATA_compression
S3-caeccee3df,G-X,S,False,X,False,True,False,5,7,1.0000000000000002,6.661338147750939e-16,-1.0,no_intrinsic_DATA_compression
S3-ff11dce173,G-X,S,False,X,False,True,True,6,8,,,,control_groups_gt_5
S3-f67e518aa7,G-X,S,False,X,True,False,False,5,6,-7.771561172376096e-16,0.0,-2.220446049250313e-16,no_intrinsic_DATA_compression
S3-7760d5fc54,G-X,S,False,X,True,False,True,5,7,-7.771561172376096e-16,0.0,-2.220446049250313e-16,no_intrinsic_DATA_compression
S3-10ab23e689,G-X,S,False,X,True,True,False,6,7,,,,control_groups_gt_5
S3-ff5ed3b6e9,G-X,S,False,X,True,True,True,7,8,,,,control_groups_gt_5
S3-01c6ebf22a,G-X,S,True,G,False,False,False,5,6,1.0,-1.0000000000000004,-1.0,no_intrinsic_DATA_compression
S3-100dd0efcf,G-X,S,True,G,False,False,True,5,7,1.0,-1.0000000000000004,-1.0,no_intrinsic_DATA_compression
S3-7c7b1e01aa,G-X,S,True,G,False,True,False,6,7,,,,control_groups_gt_5
S3-b4bcffeae5,G-X,S,True,G,False,True,True,7,8,,,,control_groups_gt_5
S3-34d9af5241,G-X,S,True,G,True,False,False,5,6,-2.220446049250313e-16,8.881784197001252e-16,2.220446049250313e-16,no_intrinsic_DATA_compression
S3-00bbafc23d,G-X,S,True,G,True,False,True,5,7,-2.220446049250313e-16,8.881784197001252e-16,2.220446049250313e-16,no_intrinsic_DATA_compression
S3-4c226508d5,G-X,S,True,G,True,True,False,6,7,,,,control_groups_gt_5
S3-39c3d895cc,G-X,S,True,G,True,True,True,7,8,,,,control_groups_gt_5
S3-fc6f9b91a3,G-X,S,True,S,False,False,False,5,6,,,,DATA_and_VINIT_short_in_WRITE
S3-6d2bf33601,G-X,S,True,S,False,False,True,5,7,,,,DATA_and_VINIT_short_in_WRITE
S3-6721cc877c,G-X,S,True,S,False,True,False,6,7,,,,control_groups_gt_5
S3-1429500ae5,G-X,S,True,S,False,True,True,7,8,,,,control_groups_gt_5
S3-c7f818a4fb,G-X,S,True,S,True,False,False,5,6,,,,DATA_and_VINIT_short_in_WRITE
S3-cec7c7313e,G-X,S,True,S,True,False,True,5,7,,,,DATA_and_VINIT_short_in_WRITE
